dataset,model,calibration,auroc,auroc_ci_low,auroc_ci_high,auprc,ece,ece_ci_low,ece_ci_high,mce,brier,f1,n_test,pos_rate
EKS-Dec,LogisticRegression,isotonic,0.9670168067226892,0.9291888857533064,0.9932432432432433,0.904158345537656,0.04130008112422471,0.02019181953785365,0.07732276973804722,0.17142857142857126,0.037270287281046234,0.9444444444444444,103,0.33980582524271846
EKS-Dec,RandomForest,isotonic,0.9756302521008403,0.9376424066549547,0.9988711467173934,0.9136656136656137,0.03426982590854773,0.013566331275363216,0.0760311567319466,0.14792899408284022,0.03672155801505773,0.9444444444444444,103,0.33980582524271846
EKS-Dec,GradientBoosting,isotonic,0.9756302521008404,0.9376424066549547,0.9988711467173934,0.9136656136656137,0.0333582275329848,0.013193925815285053,0.07543876026885735,0.1512820512820513,0.036635963820429836,0.9444444444444444,103,0.33980582524271846
EKS-Dec,XGBoost,isotonic,0.9756302521008404,0.9376424066549547,0.9988711467173934,0.9136656136656137,0.03335822322993602,0.012696051259425665,0.0754387551810122,0.14792896234072173,0.03663596360775065,0.9444444444444444,103,0.33980582524271846
EKS-Dec,LightGBM,isotonic,0.9756302521008404,0.9376424066549547,0.9988711467173934,0.9136656136656137,0.03335822753298481,0.012696041822255436,0.07543876026885735,0.14792899408284022,0.036635963820429836,0.9444444444444444,103,0.33980582524271846
Alibaba,LogisticRegression,isotonic,0.6090379901960784,0.5603162498929876,0.6588564124798377,0.12676064053022057,0.022140982996494505,0.015217781939812838,0.03955988338172736,0.04201680672268912,0.0882423476747453,0.0,853,0.09964830011723329
Alibaba,RandomForest,isotonic,0.6830499387254901,0.6220193030014616,0.7379509509292346,0.18091486479729324,0.02782911333008975,0.01788379994880133,0.04661062302733517,0.04812688306628912,0.08600568867491362,0.0,853,0.09964830011723329
Alibaba,GradientBoosting,isotonic,0.688342524509804,0.6290733149406491,0.7427226853081382,0.2033635334604112,0.031190894190960442,0.019642948227780604,0.04980564471768424,0.0687739810432926,0.08499973870648012,0.06818181818181818,853,0.09964830011723329
Alibaba,XGBoost,isotonic,0.6916896446078431,0.6332048327108192,0.7424145092492054,0.20725690948067982,0.027707041895228837,0.018561600122801687,0.04855931657923283,0.07683172988540987,0.08495755118109036,0.06818181818181818,853,0.09964830011723329
Alibaba,LightGBM,isotonic,0.689123774509804,0.6311282849523948,0.7447935804371483,0.1824706706498079,0.02744117901716541,0.016807538774599035,0.04521455225159271,0.07523112129603866,0.08553119375432394,0.0,853,0.09964830011723329
Borg,LogisticRegression,isotonic,0.5004528626860945,0.4918141298269887,0.5089742697882768,0.09808657090654566,0.01429462831766785,0.006548173592571779,0.01825026897698616,0.024586370292036114,0.08841985173651744,0.0,4000,0.098
Borg,RandomForest,isotonic,0.5298670188696322,0.508890828444464,0.5521669512921952,0.10439858153964603,0.0075935662113450954,0.006530842700626058,0.017890612549800778,0.017738095238095233,0.08818497818370033,0.0,4000,0.098
Borg,GradientBoosting,isotonic,0.532684595456808,0.5102763871844096,0.5541254810466453,0.10712453237996364,0.012828082620789617,0.007165784694935939,0.01854523344658165,0.02835492227979272,0.08810638914907776,0.0,4000,0.098
Borg,XGBoost,isotonic,0.5316752879089552,0.50967177540786,0.5532201712940474,0.10752933244547923,0.012490994274616241,0.007177338251471517,0.01829003234952688,0.025469243824481957,0.08809460915059399,0.0,4000,0.098
Borg,LightGBM,isotonic,0.5305719433006018,0.5088356895761912,0.5526908044790482,0.10592706824081477,0.010660854029913425,0.006950525898142787,0.01829168269834319,0.030837366892545987,0.08816749122034724,0.0,4000,0.098
